What is your age?,What is your favorite coffee drink?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,Gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
18-24 years old,Regular drip coffee,,,Complex,,,,,,,,,,,
25-34 years old,Iced coffee,,,Light,,,,,,,,,,,
25-34 years old,Regular drip coffee,,,Complex,,,,,,,,,,,
35-44 years old,Iced coffee,,,Complex,,,,,,,,,,,
25-34 years old,Latte,,,Sweet,,,,,,,,,,,
55-64 years old,Iced coffee,,,,,,,,,,,,,,
18-24 years old,Pourover,,,Complex,,,,,,,,,,,
,,,,,,,,,,,,,,,
25-34 years old,Regular drip coffee,,,Light,,,,,,,,,,,
,,,,,,,,,,,,,,,
18-24 years old,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
<18 years old,Other,,,Full Bodied,Somewhat light,Light,Full caffeine,,,,,,,,
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,,,,,,,,
<18 years old,Pourover,Whole milk,,Bright,Medium,Light,Full caffeine,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat
>65 years old,Cortado,,,Fruity,Somewhat strong,Blonde,Full caffeine,,,,,,,,
25-34 years old,Regular drip coffee,Half and half,"Granulated Sugar, Brown Sugar",Sweet,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,,,,,,,,,,,,,,,
18-24 years old,Iced coffee,Oat milk,,Nutty,Somewhat strong,Nordic,Full caffeine,,,,,,,,
18-24 years old,,,,,,,,,,,,,,,
18-24 years old,Pourover,,,Bright,Somewhat light,Light,Full caffeine,,,,,,,,
35-44 years old,Cappuccino,Oat milk,,Caramalized,Somewhat strong,Medium,Full caffeine,,,,,,,,
25-34 years old,Regular drip coffee,,,Bold,Very strong,,Full caffeine,,,,,,,,
45-54 years old,Regular drip coffee,,,Fruity,Medium,Light,Full caffeine,,,,,,,,
18-24 years old,Latte,Whole milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,,,,,,,,
35-44 years old,Pourover,,,Fruity,,Medium,Full caffeine,,,,,,,,
,,,,,,,,,,,,,,,
25-34 years old,,,,,,,,,,,,,,,
18-24 years old,,,,,,,,,,,,,,,
25-34 years old,Latte,Whole milk,,Chocolatey,Very strong,Medium,Full caffeine,,,,,,,,
18-24 years old,Iced coffee,,,,,,,,,,,,,,
18-24 years old,Pourover,,,,,,,,,,,,,,
